"MSSubClass","MSZoning","LotFrontage","LotArea","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","Fence","MiscFeature","MoSold","SaleType","SaleCondition","type","housse_age","garage_age","remod_since"
"60","RL",65,8450,"No.alley.access","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story","7","5","Gable","VinylSd","VinylSd","BrkFace","1","Gd","TA","PConc","Gd","TA","No","GLQ",706,"Unf","No",150,856,"Ex","Y","SBrkr",856,854,"No",1710,"1","0","2","1","3","1","Gd","8","Typ","0","No.Fireplace","Attchd","RFn","2",548,"TA","TA","Y",0,"Yes","No","No","No","None","None","2","WD","Normal","train","1","1","1"
"20","RL",80,9600,"No.alley.access","Reg","Lvl","FR2","Gtl","Veenker","Feedr","1Fam","1Story","6","8","Gable","MetalSd","MetalSd","None","None","TA","TA","CBlock","Gd","TA","Gd","ALQ",978,"Unf","No",284,1262,"Ex","Y","SBrkr",1262,0,"No",1262,"0","1","2","0","3","1","TA","6","Typ","1","TA","Attchd","RFn","2",460,"TA","TA","Y",298,"No","No","No","No","None","None","5","WD","Normal","train","4","4","2"
"60","RL",68,11250,"No.alley.access","IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story","7","5","Gable","VinylSd","VinylSd","BrkFace","1","Gd","TA","PConc","Gd","TA","Mn","GLQ",486,"Unf","No",434,920,"Ex","Y","SBrkr",920,866,"No",1786,"1","0","2","1","3","1","Gd","6","Typ","1","TA","Attchd","RFn","2",608,"TA","TA","Y",0,"Yes","No","No","No","None","None","9","WD","Normal","train","1","1","1"
"70","RL",60,9550,"No.alley.access","IR1","Lvl","Corner","Gtl","Crawfor","Norm","1Fam","2Story","7","5","Gable","Wd Sdng","Wd Shng","None","None","TA","TA","BrkTil","TA","Gd","No","ALQ",216,"Unf","No",540,756,"Gd","Y","SBrkr",961,756,"No",1717,"1","0","1","0","3","1","Gd","7","Typ","1","Gd","Detchd","Unf","3",642,"TA","TA","Y",0,"Yes","Yes","No","No","None","None","2","WD","Abnorml","train",">80","2","3"
"60","RL",84,14260,"No.alley.access","IR1","Lvl","FR2","Gtl","NoRidge","Norm","1Fam","2Story","8","5","Gable","VinylSd","VinylSd","BrkFace","2","Gd","TA","PConc","Gd","TA","Av","GLQ",655,"Unf","No",490,1145,"Ex","Y","SBrkr",1145,1053,"No",2198,"1","0","2","1","4","1","Gd","9","Typ","1","TA","Attchd","RFn","3",836,"TA","TA","Y",192,"Yes","No","No","No","None","None","12","WD","Normal","train","2","2","1"
"50","RL",85,14115,"No.alley.access","IR1","Lvl","Inside","Gtl","Mitchel","Norm","1Fam","1.5Fin","5","5","Gable","VinylSd","VinylSd","None","None","TA","TA","Wood","Gd","TA","No","GLQ",732,"Unf","No",64,796,"Ex","Y","SBrkr",796,566,"No",1362,"1","0","1","1","1","1","TA","5","Typ","0","No.Fireplace","Attchd","Unf","2",480,"TA","TA","Y",40,"Yes","No","Yes","No","MnPrv","Yes","10","WD","Normal","train","2","2","1"
"20","RL",75,10084,"No.alley.access","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story","8","5","Gable","VinylSd","VinylSd","Stone","1","Gd","TA","PConc","Ex","TA","Av","GLQ",1369,"Unf","No",317,1686,"Ex","Y","SBrkr",1694,0,"No",1694,"1","0","2","0","3","1","Gd","7","Typ","1","Gd","Attchd","RFn","2",636,"TA","TA","Y",255,"Yes","No","No","No","None","None","8","WD","Normal","train","1","1","1"
"60","RL",87.02,10382,"No.alley.access","IR1","Lvl","Corner","Gtl","NWAmes","PosN","1Fam","2Story","7","6","Gable","HdBoard","HdBoard","Stone","1","TA","TA","CBlock","Gd","TA","Mn","ALQ",859,"BLQ","Yes",216,1107,"Ex","Y","SBrkr",1107,983,"No",2090,"1","0","2","1","3","1","TA","7","Typ","2","TA","Attchd","RFn","2",484,"TA","TA","Y",235,"Yes","Yes","No","No","None","Yes","11","WD","Normal","train","4","4","2"
"50","RM",51,6120,"No.alley.access","Reg","Lvl","Inside","Gtl","OldTown","Artery","1Fam","1.5Fin","7","5","Gable","BrkFace","Wd Shng","None","None","TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf","No",952,952,"Gd","Y","FuseF",1022,752,"No",1774,"0","0","2","0","2","2","TA","8","Min1","2","TA","Detchd","Unf","2",468,"Fa","TA","Y",90,"No","Yes","No","No","None","None","4","WD","Abnorml","train","6",">60",">60"
"190","RL",50,7420,"No.alley.access","Reg","Lvl","Corner","Gtl","BrkSide","Artery","2fmCon","1.5Unf","5","6","Gable","MetalSd","MetalSd","None","None","TA","TA","BrkTil","TA","TA","No","GLQ",851,"Unf","No",140,991,"Ex","Y","SBrkr",1077,0,"No",1077,"1","0","1","0","2","2","TA","5","Typ","2","TA","Attchd","RFn","1",205,"Gd","TA","Y",0,"Yes","No","No","No","None","None","1","WD","Normal","train","6",">60",">60"
"20","RL",70,11200,"No.alley.access","Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story","5","5","Hip","HdBoard","HdBoard","None","None","TA","TA","CBlock","TA","TA","No","Rec",906,"Unf","No",134,1040,"Ex","Y","SBrkr",1040,0,"No",1040,"1","0","1","0","3","1","TA","5","Typ","0","No.Fireplace","Detchd","Unf","1",384,"TA","TA","Y",0,"No","No","No","No","None","None","2","WD","Normal","train","5","5","3"
"60","RL",85,11924,"No.alley.access","IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story","9","5","Hip","WdShing","Wd Shng","Stone","2","Ex","TA","PConc","Ex","TA","No","GLQ",998,"Unf","No",177,1175,"Ex","Y","SBrkr",1182,1142,"No",2324,"1","0","3","0","4","1","Ex","11","Typ","2","Gd","BuiltIn","Fin","3",736,"TA","TA","Y",147,"Yes","No","No","No","None","None","7","New","Partial","train","1","1","1"
"20","RL",69.1,12968,"No.alley.access","IR2","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story","5","6","Hip","HdBoard","Plywood","None","None","TA","TA","CBlock","TA","TA","No","ALQ",737,"Unf","No",175,912,"TA","Y","SBrkr",912,0,"No",912,"1","0","1","0","2","1","TA","4","Typ","0","No.Fireplace","Detchd","Unf","1",352,"TA","TA","Y",140,"No","No","No","Yes","None","None","9","WD","Normal","train","5","5","3"
